Borrower Transaction-Level Detail Report -- Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period	July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution	KING CNTY LIBR SYST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol	NTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests,Canceled,Requests,Filled,Requests,Filled,(Loan),Requests,Filled,(Copy),Requests,Unfilled,Direct,Request:,Unmediated,Direct,Request:,Mediated,Average,Turnaround,Time,For,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Loan,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Copy,Filled,Requests,(dd:hh:mm)
BALTIMORE CNTY PUB LIBR	B@L	MD	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGOR PUB LIBR	BYN	ME	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTLESVILLE PUB LIBR	O2H	OK	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLOR UNIV	IYU	TX	Academic	7	7	0	5	5	0	2	0	0	0:19:12	0:19:12	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE COLL	ZY8	WA	Academic	2	2	0	2	2	0	0	0	0	2:12:00	2:12:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLINGHAM PUB LIBR	BLP	WA	Public	14	14	0	10	10	0	6	0	0	2:00:00	2:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BELLINGHAM TECH COL, INFO TECH RES CTR	B2T	WA	Academic	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELOIT COL LIBR	WII	WI	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENICIA PUB LIBR	JUA	CA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERRY COL	GBC	GA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL COLL LIBR N NEWTON	KSB	KS	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
